ï..Commodity,State,STATION,YEAR,MONTH,DSND,DSNW,EMNT,EMSD,EMSN,EMXP,EMXT,PRCP,SNOW,TAVG,TMAX,TMIN,SC_Group_ID,SC_Group_Desc,SC_GroupCommod_ID,SC_Geography_ID,SortOrder,SC_GeographyIndented_Desc,SC_Commodity_ID,SC_Commodity_Desc,SC_Attribute_ID,SC_Attribute_Desc,SC_Unit_ID,SC_Unit_Desc,SC_Frequency_ID,SC_Frequency_Desc,Timeperiod_Desc,Amount
Sorghum,KS,USC00143527,1990,2,1,0,-5.395218003,1,0.8,0.17,69,0.24,0.8,24.5140647,46.2,14.99479606,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Feb,1.9768
Sorghum,KS,USC00143527,1990,3,0,0,18,0,0,0.99,75,2.45,0,45.3,56.8,33.8,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Mar,2.0664
Sorghum,KS,USC00143527,1990,4,0,1,27,0,1,1.75,87,4.02,1,52.6,64.4,40.7,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Apr,2.1784
Sorghum,KS,USC00143527,1990,5,0,0,33,0,0,0.94,92,4.08,0,59.8,69.8,49.8,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,May,2.2792
Sorghum,KS,USC00143527,1990,6,0,0,48,0,0,0.85,108,1.95,0,77.5,90,65,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Jun,2.4024
Sorghum,KS,USC00143527,1990,7,0,0,46,0,0,2.84,108,3.33,0,78.6,91.5,65.8,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Jul,2.4864
Sorghum,KS,USC00143527,1990,8,0,0,52,0,0,1.5,105,4.19,0,77,89.9,64.1,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Aug,2.3184
Sorghum,KS,USC00143527,1990,9,0,0,34,0,0,0.82,103,1.64,0,72.1,86.8,57.4,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Sep,2.2176
Sorghum,KS,USC00143527,1990,10,0,0,25,0,0,0.18,93,0.42,0,55.5,70.9,40.1,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Oct,1.988
Sorghum,KS,USC00143527,1990,11,0,0,16,0,0,0.53,84,0.66,0,46.3,62.4,30.2,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Nov,1.9992
Sorghum,KS,USC00143527,1990,12,3,2,-12,2,1.5,0.17,68,0.32,2.8,26.2,38.7,13.6,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Dec,2.0552
Sorghum,KS,USC00143527,1991,1,4,0,0,1,0.8,0.04,58,0.11,1.9,24.8,37.9,11.6,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Jan,2.0832
Sorghum,KS,USC00143527,1991,2,0,0,6,0,0,0,74,0,0,40.4,58.2,22.5,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Feb,2.1728
Sorghum,KS,USC00143527,1991,3,2,2,14,2,1.5,1.1,84,1.48,3,44.9,60.5,29.2,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Mar,2.2008
Sorghum,KS,USC00143527,1991,4,0,0,32,0,0,0.7,87,1.24,0,55.7,68.6,42.9,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Apr,2.268
Sorghum,KS,USC00143527,1991,5,0,0,32,0,0,1.34,96,3.78,0,67,78.4,55.5,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,May,2.3016
Sorghum,KS,USC00143527,1991,6,0,0,50,0,0,0.59,105,1.16,0,77.8,90.2,65.4,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Jun,2.1784
Sorghum,KS,USC00143527,1991,7,0,0,57,0,0,0.51,112,1.47,0,82.8,98,67.7,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Jul,2.212
Sorghum,KS,USC00143527,1991,8,0,0,56,0,0,1.01,105,2.64,0,77.5,90.9,64.1,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Aug,2.2456
Sorghum,KS,USC00143527,1991,9,0,0,35,0,0,0.9,99,0.91,0,70,84.1,55.8,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Sep,2.296
Sorghum,KS,USC00143527,1991,10,1,1,17,2,2,0.31,95,0.54,2,55.7,72.3,39.1,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Oct,2.2008
Sorghum,KS,USC00143527,1991,11,8,1,-3,6,4,0.54,70,1.02,4,34.5,45,23.9,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Nov,2.2064
Sorghum,KS,USC00143527,1991,12,0,0,16,0,0,0.66,67,1.67,0,35.4,45.7,25.1,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Dec,2.2344
Sorghum,KS,USC00143527,1992,1,1,0,6,1,0.8,0.67,65,1.24,0.8,35.9,48.5,23.4,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Jan,2.2792
Sorghum,KS,USC00143527,1992,2,0,0,15,0,0.3,0.52,73,1.2,0.3,40.2,53.1,27.2,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Feb,2.3464
Sorghum,KS,USC00143527,1992,3,1,1,19,2,2,0.34,82,1.19,2,47.1,60.3,33.8,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Mar,2.4136
Sorghum,KS,USC00143527,1992,4,0,0,19,0,0,0.25,89,0.3,0,54.3,68.4,40.3,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Apr,2.3968
Sorghum,KS,USC00143527,1992,5,0,0,34,0,0,1.42,95,3.95,0,63.6,76.5,50.7,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,May,2.4136
Sorghum,KS,USC00143527,1992,6,0,0,50,0,0,1.37,98,6.04,0,69.1,79.2,59,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Jun,2.3632
Sorghum,KS,USC00143527,1992,7,0,0,50,0,0,1.56,97,3.87,0,75.4,87,63.8,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Jul,2.1392
Sorghum,KS,USC00143527,1992,8,0,0,48,0,0,0.91,93,4.07,0,70.7,81.6,59.8,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Aug,2.1112
Sorghum,KS,USC00143527,1992,9,0,0,40,0,0,0.75,98,1.62,0,68.6,82,55.3,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Sep,2.0776
Sorghum,KS,USC00143527,1992,10,0,0,29,0,0,1.24,87,2.07,0,55.8,70.1,41.6,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Oct,1.8088
Sorghum,KS,USC00143527,1992,11,8,2,5,8,4.5,0.65,72,1.95,8,36,44.5,27.4,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Nov,1.7976
Sorghum,KS,USC00143527,1992,12,31,3,4,6,4,0.45,47,1.05,7,25.3,35,15.6,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Dec,2.1
Sorghum,KS,USC00143527,1993,1,31,3,-3,10,7,0.6,46,1.24,12.1,21.2,29.4,12.9,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Jan,1.8928
Sorghum,KS,USC00143527,1993,2,28,4,-11,11,5,1.14,52,2.73,15.7,23.1,31.4,14.8,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Feb,1.8592
Sorghum,KS,USC00143527,1993,3,9,3,9,9,2,0.52,71,1.76,5,38.9,49.4,28.5,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Mar,1.8928
Sorghum,KS,USC00143527,1993,4,0,0,22,0,0.3,0.34,81,1.02,0.3,49.8,60.5,39.1,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Apr,1.8928
Sorghum,KS,USC00143527,1993,5,0,0,35,0,0,0.72,92,3.64,0,62.3,73.2,51.5,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,May,1.8704
Sorghum,KS,USC00143527,1993,6,0,0,47,0,0,3.32,101,5.54,0,71.5,83.4,59.7,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Jun,1.904
Sorghum,KS,USC00143527,1993,7,0,0,59,0,0,2.75,100,11.57,0,77.2,88,66.5,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Jul,2.0776
Sorghum,KS,USC00143527,1993,8,0,0,49,0,0,1.69,99,6.26,0,76.2,87.4,64.9,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Aug,2.1168
Sorghum,KS,USC00143527,1993,9,0,0,35,0,0,1.4,96,2.24,0,63.5,75.3,51.7,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Sep,2.0664
Sorghum,KS,USC00143527,1993,10,0,0,11,0,0,0.33,91,0.55,0,53.7,67.5,39.9,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Oct,2.1336
Sorghum,KS,USC00143527,1993,11,0,0,4,0,0,0.27,73,0.4,0,37.2,51.5,22.9,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Nov,2.3632
Sorghum,KS,USC00143527,1993,12,1,0,8,1,0.5,0.63,69,1.06,0.8,34.5,47.4,21.5,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Dec,2.5424
Sorghum,KS,USC00143527,1994,1,7,1,-5,2,1.3,0.37,64,0.75,3.2,27.6,40.2,14.9,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Jan,2.632
Sorghum,KS,USC00143527,1994,2,12,1,-4,5,5,0.46,67,0.48,5.3,26.7,39.1,14.3,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Feb,2.5704
Sorghum,KS,USC00143527,1994,3,0,0,17,0,0,0.04,86,0.09,0,46.8,62.7,31,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Mar,2.4416
Sorghum,KS,USC00143527,1994,4,2,1,11,6,5.5,0.76,92,2.71,6.5,52.4,66.5,38.4,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Apr,2.352
Sorghum,KS,USC00143527,1994,5,0,0,33,0,0,0.5,98,1.04,0,65.1,77.8,52.3,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,May,2.352
Sorghum,KS,USC00143527,1994,6,0,0,55,0,0,0.36,105,0.72,0,78.1,91.5,64.6,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Jun,2.3744
Sorghum,KS,USC00143527,1994,7,0,0,52,0,0,1.39,104,5.5,0,75.7,88.8,62.7,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Jul,2.0776
Sorghum,KS,USC00143527,1994,8,0,0,55,0,0,0.09,105,0.27,0,78.9,92.9,64.9,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Aug,2.0888
Sorghum,KS,USC00143527,1994,9,0,0,35,0,0,0.47,100,0.67,0,68.9,83.4,54.4,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Sep,1.9936
Sorghum,KS,USC00143527,1994,10,0,0,25,0,0,0.27,100,1,0,57.3,71.5,43.1,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Oct,1.8872
Sorghum,KS,USC00143527,1994,11,0,1,19,0,1,1.12,76,1.99,1,42.6,55.4,29.8,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Nov,1.8984
Sorghum,KS,USC00143527,1994,12,10,2,13,1,1,0.72,66,1.02,2.2,35,46.4,23.7,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Dec,1.9768
Sorghum,KS,USC00143527,1995,1,12,2,0,6,3,1.09,62,1.51,5.3,29.4,42.2,16.7,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Jan,2.0384
Sorghum,KS,USC00143527,1995,2,4,1,7,4,3.5,0.17,78,0.17,3.6,38.9,54,23.7,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Feb,2.0664
Sorghum,KS,USC00143527,1995,3,6,2,-1,3,2.5,0.65,88,1.02,4,41.3,53.9,28.6,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Mar,2.1056
Sorghum,KS,USC00143527,1995,4,0,0,21,0,0,0.4,84,1.43,0,49.3,61.8,36.8,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Apr,2.1504
Sorghum,KS,USC00143527,1995,5,0,0,36,0,0,3.53,85,8.98,0,56.5,65.6,47.4,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,May,2.2736
Sorghum,KS,USC00143527,1995,6,0,0,44,0,0,0.29,97,0.75,0,70.2,82.1,58.2,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Jun,2.6376
Sorghum,KS,USC00143527,1995,7,0,0,55,0,0,0.22,111,1.17,0,78.9,93.6,64.1,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Jul,2.6768
Sorghum,KS,USC00143527,1995,8,0,0,56,0,0,0.45,105,1.33,0,82.3,96.6,67.9,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Aug,2.604
Sorghum,KS,USC00143527,1995,9,0,0,27,0,0,0.64,103,1.31,0,67,80.8,53.2,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Sep,2.7272
Sorghum,KS,USC00143527,1995,10,0,0,25,0,0,0.12,93,0.18,0,55.4,71.7,39.2,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Oct,2.8672
Sorghum,KS,USC00143527,1995,11,0,1,4,0,1,0.11,79,0.19,1,40.7,57.6,23.8,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Nov,2.9624
Sorghum,KS,USC00143527,1995,12,3,1,-3,4,4,0.32,78,0.44,4.5,31.3,44.3,18.3,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Dec,3.1696
Sorghum,KS,USC00143527,1996,1,13,2,-15,4,2,0.25,72,0.37,3.7,23.8,38.2,9.4,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Jan,3.2312
Sorghum,KS,USC00143527,1996,2,5,1,-14,1,1,0.05,80,0.08,1.5,35.2,52,18.4,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Feb,3.4944
Sorghum,KS,USC00143527,1996,3,1,1,-6,1,1,0.57,85,1.3,1,35.8,50.3,21.2,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Mar,3.6456
Sorghum,KS,USC00143527,1996,4,0,0,23,0,0,0.38,93,0.7,0,54.4,70.2,38.7,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Apr,4.0824
Sorghum,KS,USC00143527,1996,5,0,0,41,0,0,2.47,98,7.04,0,64,75.1,52.9,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,May,4.284
Sorghum,KS,USC00143527,1996,6,0,0,47,0,0,2.92,100,4.33,0,73.9,86.3,61.6,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Jun,3.836
Sorghum,KS,USC00143527,1996,7,0,0,57,0,0,1.78,103,5.13,0,76.7,88.7,64.7,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Jul,3.7016
Sorghum,KS,USC00143527,1996,8,0,0,54,0,0,1.01,94,5.06,0,73.6,84.6,62.7,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Aug,3.4776
Sorghum,KS,USC00143527,1996,9,0,0,35,0,0,1.68,94,3.11,0,64.2,75.5,53,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Sep,3.1192
Sorghum,KS,USC00143527,1996,10,0,0,27,0,0,0.62,85,0.94,0,55.8,68.9,42.8,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Oct,2.4528
Sorghum,KS,USC00143527,1996,11,0,0,10,0,0.3,2.92,72,3.7,0.3,36.9,48.3,25.6,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Nov,2.296
Sorghum,KS,USC00143527,1996,12,0,0,-1,0,0.2,0.03,67,0.03,0.2,29.6,44.2,15.1,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Dec,2.2008
Sorghum,KS,USC00143527,1997,1,0,0,-8,0,0,0,71,0,0,26.7,41.2,12.3,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Jan,2.2568
Sorghum,KS,USC00143527,1997,2,12,3,9,5,5,0.32,73,0.71,10.5,32.4,43.8,21,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Feb,2.3352
Sorghum,KS,USC00143527,1997,3,0,0,14,0,0,0.01,87,0.01,0,45.5,61.7,29.2,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Mar,2.4472
Sorghum,KS,USC00143527,1997,4,3,3,12,3,2.5,0.69,91,2.58,4.5,47.6,60.2,35,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Apr,2.4304
Sorghum,KS,USC00143527,1997,5,0,0,31,0,0,0.59,96,1.56,0,60.4,74.3,46.6,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,May,2.3408
Sorghum,KS,USC00143527,1997,6,0,0,52,0,0,2,103,4.35,0,72.5,84.8,60.2,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Jun,2.296
Sorghum,KS,USC00143527,1997,7,0,0,50,0,0,1.33,103,3.45,0,77.8,90.5,65.1,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Jul,2.212
Sorghum,KS,USC00143527,1997,8,0,0,53,0,0,1.74,98,6.32,0,74.8,86.2,63.5,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Aug,2.2904
Sorghum,KS,USC00143527,1997,9,0,0,45,0,0,0.64,100,2.04,0,70.2,82.9,57.5,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Sep,2.24
Sorghum,KS,USC00143527,1997,10,3,1,9,4,4,1.11,99,2.53,4,56.8,71,42.6,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Oct,2.2736
Sorghum,KS,USC00143527,1997,11,0,0,11,0,0,0.15,74,0.16,0,39.8,52.5,27.1,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Nov,2.2456
Sorghum,KS,USC00143527,1997,12,22,5,6,8,4.5,0.48,58,1.63,15.2,30.7,39.4,22.1,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Dec,2.2064
Sorghum,KS,USC00143527,1998,1,1,0,9,1,0.5,0.07,65,0.12,0.6,31,42.1,19.8,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Jan,2.2512
Sorghum,KS,USC00143527,1998,2,0,0,15,0,0,1.07,69,1.8,0,37.7,48.8,26.7,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Feb,2.268
Sorghum,KS,USC00143527,1998,3,0,1,1,0,1.6,0.5,84,1.89,2.1,36.2,46.8,25.6,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Mar,2.2512
Sorghum,KS,USC00143527,1998,4,0,0,25,0,0,2.29,83,3.5,0,51.3,64,38.7,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Apr,2.1112
Sorghum,KS,USC00143527,1998,5,0,0,36,0,0,0.59,101,2.08,0,68,81.6,54.4,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,May,2.0664
Sorghum,KS,USC00143527,1998,6,0,0,36,0,0,0.66,109,1.11,0,74.3,89.1,59.4,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Jun,2.2176
Sorghum,KS,USC00143527,1998,7,0,0,63,0,0,1.57,106,6.86,0,79.9,91.1,68.7,1,Prices,20,1,0.8,United States,4,Sorghum,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Jul,2.1336
