,Commodity,State,STATION,YEAR,MONTH,DSND,DSNW,EMNT,EMSD,EMSN,EMXP,EMXT,PRCP,SNOW,TAVG,TMAX,TMIN,SC_Group_ID,SC_Group_Desc,SC_GroupCommod_ID,SC_Geography_ID,SortOrder,SC_GeographyIndented_Desc,SC_Commodity_ID,SC_Commodity_Desc,SC_Attribute_ID,SC_Attribute_Desc,SC_Unit_ID,SC_Unit_Desc,SC_Frequency_ID,SC_Frequency_Desc,Timeperiod_Desc,Amount,date,CPI
3333,Corn,OH,USC00339312,1989,11,2,0,19.0,1,0.5,0.91,70.0,1.68,0.8,39.2,48.1,30.3,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Nov,2.24,1989-11-01,125.9
3334,Corn,OH,USC00339312,1989,12,21,3,-17.0,6,5.0,0.59,47.0,1.61,9.5,17.8,25.5,10.0,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Dec,2.27,1989-12-01,126.3
3335,Corn,OH,USC00339312,1990,1,8,3,17.0,4,2.5,0.6,56.0,1.73,6.0,34.9,42.0,27.8,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Jan,2.31,1990-01-01,127.5
3336,Corn,OH,USC00339312,1990,2,6,3,-2.0,2,1.5,0.88,65.0,4.66,4.0,34.3,43.4,25.1,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Feb,2.32,1990-02-01,128.0
3337,Corn,OH,USC00339312,1990,3,0,0,13.0,0,0.0,0.36,78.0,1.13,0.0,42.9,52.5,33.3,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Mar,2.37,1990-03-01,128.6
3338,Corn,OH,USC00339312,1990,4,2,1,23.0,1,1.0,1.14,86.0,2.86,1.7,49.0,60.0,38.0,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Apr,2.51,1990-04-01,128.9
3339,Corn,OH,USC00339312,1990,5,0,0,37.0,0,0.0,1.02,77.0,6.3,0.0,56.5,66.2,46.7,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,May,2.62,1990-05-01,129.1
3340,Corn,OH,USC00339312,1990,6,0,0,37.0,0,0.0,0.71,89.0,2.98,0.0,66.8,77.0,56.5,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Jun,2.63,1990-06-01,129.9
3341,Corn,OH,USC00339312,1990,7,0,0,48.0,0,0.0,2.95,93.0,7.95,0.0,70.0,79.6,60.4,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Jul,2.62,1990-07-01,130.5
3342,Corn,OH,USC00339312,1990,8,0,0,47.0,0,0.0,1.61,87.0,5.48,0.0,68.6,78.7,58.5,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Aug,2.51,1990-08-01,131.6
3343,Corn,OH,USC00339312,1990,9,0,0,37.0,0,0.0,1.24,87.0,5.42,0.0,62.4,71.8,53.0,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Sep,2.32,1990-09-01,132.5
3344,Corn,OH,USC00339312,1990,10,0,0,27.0,0,0.0,1.97,79.0,5.86,0.0,52.9,63.2,42.7,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Oct,2.19,1990-10-01,133.4
3345,Corn,OH,USC00339312,1990,11,0,0,22.0,0,0.0,0.6,73.0,2.0,0.0,44.4,54.2,34.6,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Nov,2.16,1990-11-01,133.7
3346,Corn,OH,USC00339312,1990,12,6,2,3.0,3,2.0,1.09,61.0,6.93,3.5,35.2,43.9,26.5,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Dec,2.22,1990-12-01,134.2
3347,Corn,OH,USC00339312,1991,1,12,2,-3.0,3,2.5,0.35,52.0,1.85,4.5,27.2,34.6,19.8,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Jan,2.27,1991-01-01,134.7
3348,Corn,OH,USC00339312,1991,2,5,2,4.0,5,2.5,0.4,61.0,1.11,5.8,33.1,40.9,25.4,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Feb,2.32,1991-02-01,134.8
3349,Corn,OH,USC00339312,1991,3,2,1,16.0,1,1.0,0.73,72.0,2.4,1.2,41.6,50.8,32.4,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Mar,2.39,1991-03-01,134.8
3350,Corn,OH,USC00339312,1991,4,0,0,22.0,0,0.0,0.99,79.0,4.06,0.0,53.0,62.4,43.5,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Apr,2.42,1991-04-01,135.1
3351,Corn,OH,USC00339312,1991,5,0,0,41.0,0,0.0,1.67,90.0,3.99,0.0,67.2,78.9,55.5,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,May,2.38,1991-05-01,135.6
3352,Corn,OH,USC00339312,1991,6,0,0,47.0,0,0.0,1.17,93.0,1.85,0.0,71.3,83.3,59.3,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Jun,2.31,1991-06-01,136.0
3353,Corn,OH,USC00339312,1991,7,0,0,51.0,0,0.0,0.51,95.0,1.03,0.0,73.9,85.6,62.1,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Jul,2.27,1991-07-01,136.2
3354,Corn,OH,USC00339312,1991,8,0,0,48.0,0,0.0,1.03,95.0,3.69,0.0,72.1,84.0,60.3,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Aug,2.33,1991-08-01,136.6
3355,Corn,OH,USC00339312,1991,9,0,0,31.0,0,0.0,2.05,90.0,3.22,0.0,62.5,74.6,50.4,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Sep,2.33,1991-09-01,137.0
3356,Corn,OH,USC00339312,1991,10,0,0,25.0,0,0.0,0.33,80.0,1.56,0.0,53.6,64.5,42.8,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Oct,2.31,1991-10-01,137.2
3357,Corn,OH,USC00339312,1991,11,4,2,10.0,4,3.0,0.78,66.0,2.0,5.0,37.8,46.0,29.7,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Nov,2.29,1991-11-01,137.8
3358,Corn,OH,USC00339312,1991,12,9,2,8.0,3,2.0,1.42,59.0,2.43,4.2,33.1,40.5,25.7,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Dec,2.33,1991-12-01,138.2
3359,Corn,OH,USC00339312,1992,1,15,5,-3.0,4,2.0,0.59,55.0,1.67,9.0,29.1,35.7,22.5,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Jan,2.4,1992-01-01,138.3
3360,Corn,OH,USC00339312,1992,2,5,1,9.0,1,1.0,0.29,63.0,1.26,1.3,32.9,40.4,25.4,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Feb,2.46,1992-02-01,138.6
3361,Corn,OH,USC00339312,1992,3,8,3,9.0,2,2.3,0.84,74.0,3.23,6.4,37.1,46.3,27.8,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Mar,2.49,1992-03-01,139.1
3362,Corn,OH,USC00339312,1992,4,2,1,23.0,1,1.0,0.54,79.0,2.81,1.3,48.5,58.7,38.3,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Apr,2.48,1992-04-01,139.4
3363,Corn,OH,USC00339312,1992,5,0,0,32.0,0,0.0,0.58,84.0,2.68,0.0,57.5,69.3,45.6,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,May,2.49,1992-05-01,139.7
3364,Corn,OH,USC00339312,1992,6,0,0,37.0,0,0.0,1.19,85.0,2.79,0.0,64.4,75.7,53.1,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Jun,2.47,1992-06-01,140.1
3365,Corn,OH,USC00339312,1992,7,0,0,49.0,0,0.0,1.59,86.0,10.17,0.0,70.4,78.9,62.0,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Jul,2.33,1992-07-01,140.5
3366,Corn,OH,USC00339312,1992,8,0,0,47.0,0,0.0,2.44,86.0,5.01,0.0,66.1,76.2,56.0,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Aug,2.15,1992-08-01,140.8
3367,Corn,OH,USC00339312,1992,9,0,0,36.0,0,0.0,2.94,81.0,4.29,0.0,60.8,71.3,50.3,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Sep,2.16,1992-09-01,141.1
3368,Corn,OH,USC00339312,1992,10,0,0,23.0,0,0.0,0.75,73.0,2.22,0.0,48.3,59.0,37.5,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Oct,2.05,1992-10-01,141.7
3369,Corn,OH,USC00339312,1992,11,3,3,21.0,1,2.8,1.22,65.0,5.51,4.8,41.1,46.9,35.4,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Nov,1.98,1992-11-01,142.1
3370,Corn,OH,USC00339312,1992,12,4,3,11.0,1,1.0,0.31,58.0,1.28,3.3,32.6,38.7,26.4,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Dec,1.97,1992-12-01,142.3
3371,Corn,OH,USC00339312,1993,1,5,1,10.0,1,1.0,1.06,61.0,3.19,2.5,31.4,38.0,24.9,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Jan,2.03,1993-01-01,142.8
3372,Corn,OH,USC00339312,1993,2,17,3,-3.0,7,3.8,0.34,58.0,1.6,10.4,24.5,33.0,16.1,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Feb,2.0,1993-02-01,143.1
3373,Corn,OH,USC00339312,1993,3,14,3,4.0,5,2.5,0.89,68.0,3.72,7.2,35.2,42.6,27.9,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Mar,2.1,1993-03-01,143.3
3374,Corn,OH,USC00339312,1993,4,0,0,27.0,0,0.0,1.58,77.0,4.63,0.0,47.6,57.7,37.5,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Apr,2.16,1993-04-01,143.8
3375,Corn,OH,USC00339312,1993,5,0,0,35.0,0,0.0,0.68,87.0,1.76,0.0,59.2,71.0,47.3,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,May,2.14,1993-05-01,144.2
3376,Corn,OH,USC00339312,1993,6,0,0,42.0,0,0.0,1.23,89.0,5.29,0.0,67.3,77.4,57.2,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Jun,2.09,1993-06-01,144.3
3377,Corn,OH,USC00339312,1993,7,0,0,52.0,0,0.0,0.59,93.0,2.78,0.0,74.1,84.6,63.7,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Jul,2.22,1993-07-01,144.5
3378,Corn,OH,USC00339312,1993,8,0,0,47.0,0,0.0,0.21,95.0,0.72,0.0,73.4,86.0,60.8,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Aug,2.25,1993-08-01,144.8
3379,Corn,OH,USC00339312,1993,9,0,0,36.0,0,0.0,2.31,86.0,5.14,0.0,60.9,70.3,51.5,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Sep,2.21,1993-09-01,145.0
3380,Corn,OH,USC00339312,1993,10,0,0,27.0,0,0.0,0.91,78.0,3.62,0.0,49.3,60.6,38.0,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Oct,2.28,1993-10-01,145.6
3381,Corn,OH,USC00339312,1993,11,0,0,21.0,0,0.0,0.91,64.0,4.63,0.0,40.8,48.3,33.3,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Nov,2.45,1993-11-01,146.0
3382,Corn,OH,USC00339312,1993,12,14,2,-3.0,3,3.0,0.86,55.0,2.24,5.9,29.4,35.7,23.1,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Dec,2.67,1993-12-01,146.3
3383,Corn,OH,USC00339312,1994,1,28,7,-24.0,10,4.0,1.51,46.0,3.19,15.0,17.8,25.4,10.2,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Jan,2.7,1994-01-01,146.3
3384,Corn,OH,USC00339312,1994,2,21,3,-4.0,5,4.5,0.29,65.0,1.16,7.8,26.1,35.1,17.0,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Feb,2.79,1994-02-01,146.7
3385,Corn,OH,USC00339312,1994,3,5,1,15.0,3,3.0,0.68,71.0,2.41,3.5,36.6,45.4,27.8,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Mar,2.74,1994-03-01,147.1
3386,Corn,OH,USC00339312,1994,4,0,0,21.0,0,0.0,1.04,81.0,5.87,0.0,50.9,62.4,39.3,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Apr,2.65,1994-04-01,147.2
3387,Corn,OH,USC00339312,1994,5,0,0,31.0,0,0.0,0.54,85.0,2.37,0.0,55.2,67.2,43.2,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,May,2.6,1994-05-01,147.5
3388,Corn,OH,USC00339312,1994,6,0,0,42.0,0,0.0,1.05,96.0,5.41,0.0,69.9,81.9,58.0,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Jun,2.61,1994-06-01,147.9
3389,Corn,OH,USC00339312,1994,7,0,0,52.0,0,0.0,0.61,92.0,2.66,0.0,72.4,82.2,62.6,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Jul,2.29,1994-07-01,148.4
3390,Corn,OH,USC00339312,1994,8,0,0,45.0,0,0.0,2.41,84.0,6.3,0.0,67.9,78.0,57.8,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Aug,2.16,1994-08-01,149.0
3391,Corn,OH,USC00339312,1994,9,0,0,38.0,0,0.0,0.55,85.0,1.59,0.0,61.5,73.0,50.1,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Sep,2.19,1994-09-01,149.3
3392,Corn,OH,USC00339312,1994,10,0,0,28.0,0,0.0,0.33,74.0,1.03,0.0,51.3,62.7,40.0,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Oct,2.06,1994-10-01,149.4
3393,Corn,OH,USC00339312,1994,11,0,0,18.0,0,0.0,0.95,70.0,2.55,0.0,45.6,55.3,35.9,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Nov,1.99,1994-11-01,149.8
3394,Corn,OH,USC00339312,1994,12,0,0,13.0,0,0.0,0.82,59.0,2.74,0.0,35.2,43.1,27.4,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Dec,2.13,1994-12-01,150.1
3395,Corn,OH,USC00339312,1995,1,20,4,0.0,3,2.5,2.59,63.0,5.77,7.3,27.2,34.2,20.2,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Jan,2.19,1995-01-01,150.5
3396,Corn,OH,USC00339312,1995,2,18,0,-5.0,2,0.5,0.61,53.0,1.05,0.7,24.7,33.5,15.8,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Feb,2.23,1995-02-01,150.9
3397,Corn,OH,USC00339312,1995,3,4,1,8.0,2,2.3,0.95,74.0,1.55,2.3,39.6,51.0,28.3,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Mar,2.3,1995-03-01,151.2
3398,Corn,OH,USC00339312,1995,4,0,0,15.0,0,0.0,0.68,80.0,4.24,0.0,46.3,57.3,35.4,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Apr,2.36,1995-04-01,151.8
3399,Corn,OH,USC00339312,1995,5,0,0,33.0,0,0.0,1.2,81.0,6.12,0.0,57.1,66.7,47.4,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,May,2.42,1995-05-01,152.1
3400,Corn,OH,USC00339312,1995,6,0,0,45.0,0,0.0,0.54,91.0,3.13,0.0,69.7,79.9,59.5,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Jun,2.51,1995-06-01,152.4
3401,Corn,OH,USC00339312,1995,7,0,0,47.0,0,0.0,1.3,95.0,5.19,0.0,72.5,82.2,62.9,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Jul,2.63,1995-07-01,152.6
3402,Corn,OH,USC00339312,1995,8,0,0,52.0,0,0.0,1.63,93.0,3.97,0.0,74.5,84.4,64.7,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Aug,2.63,1995-08-01,152.9
3403,Corn,OH,USC00339312,1995,9,0,0,32.0,0,0.0,0.85,88.0,1.37,0.0,60.7,72.3,49.1,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Sep,2.69,1995-09-01,153.1
3404,Corn,OH,USC00339312,1995,10,0,0,28.0,0,0.0,2.0,77.0,5.52,0.0,53.8,63.9,43.7,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Oct,2.79,1995-10-01,153.5
3405,Corn,OH,USC00339312,1995,11,1,1,18.0,1,2.0,0.65,68.0,3.15,2.8,36.1,43.1,29.2,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Nov,2.87,1995-11-01,153.7
3406,Corn,OH,USC00339312,1995,12,19,6,3.0,8,5.0,0.46,57.0,1.43,13.5,25.0,31.9,18.0,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Dec,3.07,1995-12-01,153.9
3407,Corn,OH,USC00339312,1996,1,19,6,-5.0,11,5.5,0.94,63.0,3.29,12.9,25.1,33.1,17.2,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Jan,3.09,1996-01-01,154.7
3408,Corn,OH,USC00339312,1996,2,16,4,-7.0,3,1.5,0.63,66.0,1.88,6.1,26.8,34.7,18.9,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Feb,3.37,1996-02-01,155.0
3409,Corn,OH,USC00339312,1996,3,4,1,5.0,2,1.0,1.49,65.0,2.8,2.7,31.4,40.7,22.0,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Mar,3.51,1996-03-01,155.5
3410,Corn,OH,USC00339312,1996,4,0,0,22.0,0,0.5,1.51,77.0,6.29,0.5,47.7,58.8,36.6,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Apr,3.85,1996-04-01,156.1
3411,Corn,OH,USC00339312,1996,5,0,0,29.0,0,0.0,1.71,87.0,6.3,0.0,57.6,66.3,48.9,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,May,4.14,1996-05-01,156.4
3412,Corn,OH,USC00339312,1996,6,0,0,38.0,0,0.0,1.34,90.0,6.44,0.0,68.7,79.0,58.3,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Jun,4.2,1996-06-01,156.7
3413,Corn,OH,USC00339312,1996,7,0,0,46.0,0,0.0,1.38,92.0,4.34,0.0,69.5,80.2,58.7,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Jul,4.43,1996-07-01,157.0
3414,Corn,OH,USC00339312,1996,8,0,0,49.0,0,0.0,0.55,89.0,2.54,0.0,69.8,81.0,58.5,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Aug,4.3,1996-08-01,157.2
3415,Corn,OH,USC00339312,1996,9,0,0,40.0,0,0.0,3.25,84.0,6.84,0.0,63.0,72.0,54.0,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Sep,3.56,1996-09-01,157.7
3416,Corn,OH,USC00339312,1996,10,0,0,31.0,0,0.0,1.06,76.0,3.42,0.0,52.4,63.1,41.7,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Oct,2.88,1996-10-01,158.2
3417,Corn,OH,USC00339312,1996,11,4,1,12.0,4,3.5,1.08,69.0,3.24,3.5,34.2,41.0,27.3,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Nov,2.66,1996-11-01,158.7
3418,Corn,OH,USC00339312,1996,12,2,1,8.0,2,2.0,1.88,61.0,4.92,2.3,34.7,41.6,27.8,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Dec,2.63,1996-12-01,159.1
3419,Corn,OH,USC00339312,1997,1,11,0,-4.0,1,0.5,0.48,64.0,1.74,1.4,25.2,33.8,16.6,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Jan,2.69,1997-01-01,159.4
3420,Corn,OH,USC00339312,1997,2,9,3,7.0,3,1.5,0.62,70.0,1.74,4.5,32.6,40.4,24.7,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Feb,2.65,1997-02-01,159.7
3421,Corn,OH,USC00339312,1997,3,0,0,16.0,0,0.0,0.88,69.0,3.81,0.0,39.1,48.7,29.6,1,Prices,12,1,0.8,United States,11,Corn grain,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Mar,2.79,1997-03-01,159.8
