,Commodity,State,STATION,YEAR,MONTH,DSND,DSNW,EMNT,EMSD,EMSN,EMXP,EMXT,PRCP,SNOW,TAVG,TMAX,TMIN,SC_Group_ID,SC_Group_Desc,SC_GroupCommod_ID,SC_Geography_ID,SortOrder,SC_GeographyIndented_Desc,SC_Commodity_ID,SC_Commodity_Desc,SC_Attribute_ID,SC_Attribute_Desc,SC_Unit_ID,SC_Unit_Desc,SC_Frequency_ID,SC_Frequency_Desc,Timeperiod_Desc,Amount,date,CPI
391,Oats,SD,USC00395090,1990,1,0,0,1.0,0,0.5,0.04,56.0,0.04,0.5,26.4,36.7,16.1,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Jan,1.47,1990-01-01,127.5
393,Oats,SD,USC00395090,1990,2,0,2,-17.0,0,4.0,0.2,56.0,0.36,6.5,21.5,33.8,9.2,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Feb,1.43,1990-02-01,128.0
395,Oats,SD,USC00395090,1990,3,0,0,10.0,0,0.5,0.42,66.0,1.27,0.5,34.9,45.5,24.3,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Mar,1.39,1990-03-01,128.6
397,Oats,SD,USC00395090,1990,4,0,0,19.0,0,0.0,0.63,79.18055556,1.8,0.0,46.19777778,58.09958333,35.2,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Apr,1.44,1990-04-01,128.9
399,Oats,SD,USC00395090,1990,5,0,0,27.0,0,0.0,1.2,87.0,5.26,0.0,55.4,66.0,44.7,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,May,1.45,1990-05-01,129.1
401,Oats,SD,USC00395090,1990,6,0,0,40.0,0,0.0,2.44,95.0,8.62,0.0,67.9,78.9,56.8,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Jun,1.33,1990-06-01,129.9
403,Oats,SD,USC00395090,1990,7,0,0,48.0,0,0.0,1.68,100.0,3.07,0.0,70.0,80.3,59.8,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Jul,1.15,1990-07-01,130.5
405,Oats,SD,USC00395090,1990,8,0,0,49.0,0,0.0,1.24,94.0,3.5,0.0,70.8,81.9,59.7,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Aug,1.06,1990-08-01,131.6
407,Oats,SD,USC00395090,1990,9,0,0,32.0,0,0.0,0.12,94.0,0.31,0.0,65.8,79.0,52.6,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Sep,1.09,1990-09-01,132.5
409,Oats,SD,USC00395090,1990,10,0,1,21.0,0,1.5,0.93,82.0,1.64,1.5,48.0,60.8,35.2,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Oct,1.14,1990-10-01,133.4
411,Oats,SD,USC00395090,1990,11,0,3,3.0,0,3.0,0.14,76.0,0.45,6.0,35.9,47.6,24.2,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Nov,1.16,1990-11-01,133.7
413,Oats,SD,USC00395090,1990,12,0,2,-25.0,0,3.0,0.3,58.0,0.47,5.5,13.5,23.6,3.4,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Dec,1.17,1990-12-01,134.2
415,Oats,SD,USC00395090,1991,1,0,0,-13.0,0,0.0,0.0,42.0,0.0,0.0,12.0,22.2,1.8,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Jan,1.13,1991-01-01,134.7
417,Oats,SD,USC00395090,1991,3,0,1,-2.0,0,1.0,0.13,74.0,0.26,1.3,35.0,46.2,23.8,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Mar,1.16,1991-03-01,134.8
419,Oats,SD,USC00395090,1991,4,0,0,26.0,0,0.0,0.49,87.0,2.46,0.0,48.9,60.5,37.3,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Apr,1.16,1991-04-01,135.1
421,Oats,SD,USC00395090,1991,5,0,0,30.0,0,0.0,2.2,89.0,5.8,0.0,59.1,68.5,49.7,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,May,1.16,1991-05-01,135.6
423,Oats,SD,USC00395090,1991,6,0,0,54.0,0,0.0,1.55,93.0,6.85,0.0,71.9,81.4,62.5,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Jun,1.08,1991-06-01,136.0
425,Oats,SD,USC00395090,1991,7,0,0,48.0,0,0.0,0.86,99.0,1.69,0.0,72.1,83.2,61.0,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Jul,1.08,1991-07-01,136.2
427,Oats,SD,USC00395090,1991,8,0,0,51.0,0,0.0,0.61,97.0,1.28,0.0,71.2,83.2,59.2,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Aug,1.09,1991-08-01,136.6
429,Oats,SD,USC00395090,1991,9,0,0,28.0,0,0.0,0.97,91.0,3.6,0.0,59.8,70.7,48.8,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Sep,1.12,1991-09-01,137.0
431,Oats,SD,USC00395090,1991,10,0,0,10.0,0,0.0,0.69,84.0,0.97,0.0,45.9,58.1,33.7,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Oct,1.21,1991-10-01,137.2
433,Oats,SD,USC00395090,1991,11,0,2,-5.0,0,6.0,0.65,58.0,1.75,12.6,23.9,32.1,15.7,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Nov,1.25,1991-11-01,137.8
435,Oats,SD,USC00395090,1991,12,0,0,-9.0,0,0.3,0.15,47.0,0.15,0.3,24.8,34.0,15.5,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Dec,1.25,1991-12-01,138.2
437,Oats,SD,USC00395090,1992,1,0,2,-15.0,0,2.0,0.8,49.0,1.06,3.8,24.2,33.3,15.2,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Jan,1.31,1992-01-01,138.3
439,Oats,SD,USC00395090,1992,2,0,4,4.0,0,6.0,0.42,50.0,1.55,15.5,27.2,34.5,19.9,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Feb,1.44,1992-02-01,138.6
441,Oats,SD,USC00395090,1992,3,0,1,7.0,0,4.0,0.5,69.0,1.45,4.0,37.6,48.3,26.9,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Mar,1.44,1992-03-01,139.1
443,Oats,SD,USC00395090,1992,4,0,1,18.0,0,3.0,0.61,82.0,1.66,3.3,40.5,49.7,31.4,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Apr,1.46,1992-04-01,139.4
445,Oats,SD,USC00395090,1992,5,0,0,36.0,0,0.0,0.43,92.0,1.1,0.0,60.3,73.2,47.5,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,May,1.43,1992-05-01,139.7
447,Oats,SD,USC00395090,1992,6,0,0,44.0,0,0.0,1.39,86.0,4.29,0.0,64.8,75.7,54.0,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Jun,1.38,1992-06-01,140.1
449,Oats,SD,USC00395090,1992,7,0,0,47.0,0,0.0,1.84,84.0,6.08,0.0,64.0,73.1,54.9,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Jul,1.32,1992-07-01,140.5
451,Oats,SD,USC00395090,1992,8,0,0,44.0,0,0.0,2.68,91.0,5.37,0.0,64.8,75.2,54.3,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Aug,1.23,1992-08-01,140.8
453,Oats,SD,USC00395090,1992,9,0,0,28.0,0,0.0,1.07,81.0,2.7,0.0,58.5,70.4,46.7,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Sep,1.28,1992-09-01,141.1
455,Oats,SD,USC00395090,1992,10,0,0,21.0,0,0.3,1.05,88.0,1.46,0.3,46.6,58.6,34.7,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Oct,1.31,1992-10-01,141.7
457,Oats,SD,USC00395090,1992,11,0,0,6.8875739639999995,0,0.0,0.59,65.15828402,1.37,0.0,35.02943787,44.90147929,25.15976331,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Nov,1.35,1992-11-01,142.1
459,Oats,SD,USC00395090,1992,12,0,6,-6.205797101,0,2.0,0.17,52.19130435,0.74,9.3,23.99043478,32.64898551,15.33391304,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Dec,1.22,1992-12-01,142.3
461,Oats,SD,USC00395090,1993,1,0,1,-17.0,0,5.0,0.3,39.0,0.41,7.0,9.9,21.1,-1.3,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Jan,1.42,1993-01-01,142.8
463,Oats,SD,USC00395090,1993,2,0,5,-24.0,0,2.5,0.15,40.0,0.62,14.0,11.9,20.1,3.6,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Feb,1.42,1993-02-01,143.1
465,Oats,SD,USC00395090,1993,3,0,2,-10.0,0,4.5,0.79,61.0,1.29,7.5,25.9,35.6,16.2,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Mar,1.43,1993-03-01,143.3
467,Oats,SD,USC00395090,1993,4,0,0,20.0,0,0.3,0.65,72.0,2.91,0.6,42.7,52.5,32.8,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Apr,1.45,1993-04-01,143.8
469,Oats,SD,USC00395090,1993,5,0,0,35.0,0,0.0,1.04,79.0,5.03,0.0,57.1,68.6,45.6,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,May,1.51,1993-05-01,144.2
471,Oats,SD,USC00395090,1993,6,0,0,41.51195499,0,0.0,2.04,86.0,9.07,0.0,65.82616034,73.0,53.84149086,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Jun,1.43,1993-06-01,144.3
473,Oats,SD,USC00395090,1993,7,0,0,47.70901639,0,0.0,0.99579235,94.71038251,7.48,0.0,71.14125683,83.97377049,58.30478142,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Jul,1.36,1993-07-01,144.5
475,Oats,SD,USC00395090,1993,8,0,0,48.0,0,0.0,1.05,92.0,2.41,0.0,69.8,80.4,59.2,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Aug,1.32,1993-08-01,144.8
477,Oats,SD,USC00395090,1993,9,0,0,31.0,0,0.0,1.56,83.0,2.12,0.0,55.5,65.9,45.1,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Sep,1.31,1993-09-01,145.0
479,Oats,SD,USC00395090,1993,10,0,0,14.0,0,0.0,0.13,86.0,0.33,0.0,46.0,58.4,33.5,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Oct,1.33,1993-10-01,145.6
481,Oats,SD,USC00395090,1993,11,0,3,-11.0,0,7.0,0.62,57.0,1.54,12.0,28.2,37.2,19.2,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Nov,1.39,1993-11-01,146.0
483,Oats,SD,USC00395090,1993,12,0,3,-15.0,0,1.0,0.1,42.0,0.4,4.8,18.8,28.4,9.2,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Dec,1.42,1993-12-01,146.3
485,Oats,SD,USC00395090,1994,1,0,9,-25.0,0,5.0,0.16,40.0,0.35,15.4,4.5,13.5,-4.5,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Jan,1.42,1994-01-01,146.3
487,Oats,SD,USC00395090,1994,2,0,5,-31.0,0,3.0,0.385907173,45.0,1.11,13.0,9.8,20.1,-0.6,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Feb,1.42,1994-02-01,146.7
489,Oats,SD,USC00395090,1994,3,0,0,14.0,0,0.5,0.33,68.0,0.38,1.0,34.8,43.3,26.2,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Mar,1.39,1994-03-01,147.1
491,Oats,SD,USC00395090,1994,4,0,2,11.0,0,6.5,0.84,84.0,2.9,11.8,44.9,57.0,32.8,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Apr,1.32,1994-04-01,147.2
493,Oats,SD,USC00395090,1994,5,0,0,29.0,0,0.0,0.42,87.0,1.73,0.0,61.8,73.4,50.2,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,May,1.49,1994-05-01,147.5
495,Oats,SD,USC00395090,1994,6,0,0,52.0,0,0.0,2.36,94.0,5.98,0.0,68.9,79.7,58.2,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Jun,1.31,1994-06-01,147.9
497,Oats,SD,USC00395090,1994,7,0,0,47.70901639,0,0.0,1.44,89.0,1.72,0.0,71.14125683,80.2,58.30478142,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Jul,1.2,1994-07-01,148.4
499,Oats,SD,USC00395090,1994,8,0,0,46.0,0,0.0,1.49,89.0,2.14,0.0,67.8,78.4,57.2,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Aug,1.16,1994-08-01,149.0
501,Oats,SD,USC00395090,1994,9,0,0,37.0,0,0.0,0.63,89.0,2.01,0.0,64.0,75.9,52.2,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Sep,1.18,1994-09-01,149.3
503,Oats,SD,USC00395090,1994,10,0,0,24.0,0,0.0,0.76,75.0,2.27,0.0,51.0,62.3,39.6,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Oct,1.21,1994-10-01,149.4
505,Oats,SD,USC00395090,1994,11,0,1,6.8875739639999995,0,6.0,0.4,65.15828402,0.4,6.0,35.02943787,44.90147929,25.15976331,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Nov,1.18,1994-11-01,149.8
507,Oats,SD,USC00395090,1994,12,0,3,-6.205797101,0,4.5,0.38,52.19130435,0.38,7.0,23.99043478,32.64898551,15.33391304,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Dec,1.18,1994-12-01,150.1
509,Oats,SD,USC00395090,1995,1,0,1,-9.388268156,0,1.5,0.18,35.0,0.2,1.8,21.46731844,21.7,12.46368715,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Jan,1.22,1995-01-01,150.5
511,Oats,SD,USC00395090,1995,2,0,3,-12.0,0,2.0,0.06,51.0,0.11,4.0,20.9,29.8,12.0,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Feb,1.22,1995-02-01,150.9
513,Oats,SD,USC00395090,1995,3,0,0,-15.0,0,0.5,0.7,71.0,2.95,12.5,31.4,40.2,22.5,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Mar,1.33,1995-03-01,151.2
515,Oats,SD,USC00395090,1995,4,0,4,12.0,0,7.0,2.27,63.0,6.77,18.0,40.0,48.6,31.4,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Apr,1.36,1995-04-01,151.8
517,Oats,SD,USC00395090,1995,5,0,0,36.0,0,0.0,1.21,78.0,4.59,0.0,53.7,62.5,44.9,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,May,1.41,1995-05-01,152.1
519,Oats,SD,USC00395090,1995,6,0,0,41.51195499,0,0.0,1.92,91.63572433,3.3,0.0,65.82616034,77.80689170000001,53.84149086,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Jun,1.38,1995-06-01,152.4
521,Oats,SD,USC00395090,1995,7,0,0,46.0,0,0.0,0.99579235,99.0,5.2,0.0,71.6,82.9,60.2,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Jul,1.52,1995-07-01,152.6
523,Oats,SD,USC00395090,1995,8,0,0,49.0,0,0.0,0.95,94.24172662,4.69,0.0,69.51165468,82.82244604,63.0,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Aug,1.48,1995-08-01,152.9
525,Oats,SD,USC00395090,1995,9,0,0,26.0,0,0.0,1.28,84.0,3.11,0.0,58.3,69.8,46.7,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Sep,1.43,1995-09-01,153.1
527,Oats,SD,USC00395090,1995,10,0,1,25.0,0,7.0,1.26,80.953125,2.26,7.0,48.646875,60.82897727,36.7,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Oct,1.48,1995-10-01,153.5
529,Oats,SD,USC00395090,1995,11,0,2,2.0,0,5.0,0.57,50.0,0.71,7.0,26.7,35.1,18.2,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Nov,1.71,1995-11-01,153.7
531,Oats,SD,USC00395090,1995,12,0,1,-9.0,0,1.5,0.0,50.0,0.0,1.5,21.4,29.3,13.5,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Dec,1.91,1995-12-01,153.9
533,Oats,SD,USC00395090,1996,3,4,1,4.916208791,4,4.0,0.1,67.21153846,0.17,4.0,35.25288462,45.80027473,24.70164835,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Mar,2.04,1996-03-01,155.5
535,Oats,SD,USC00395090,1996,4,0,0,17.0,0,0.0,0.23,79.0,0.44,0.0,40.7,53.3,28.1,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Apr,2.13,1996-04-01,156.1
537,Oats,SD,USC00395090,1996,5,0,0,25.0,0,0.0,1.02,90.0,6.12,0.0,52.6,61.8,43.4,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,May,2.48,1996-05-01,156.4
539,Oats,SD,USC00395090,1996,6,0,0,38.0,0,0.0,1.26,93.0,3.52,0.0,67.5,78.9,56.2,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Jun,2.17,1996-06-01,156.7
541,Oats,SD,USC00395090,1996,7,0,0,43.0,0,0.0,0.37,88.0,1.35,0.0,68.4,80.0,56.7,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Jul,2.13,1996-07-01,157.0
543,Oats,SD,USC00395090,1996,8,0,0,44.0,0,0.0,2.22,88.0,3.63,0.0,68.5,80.2,56.7,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Aug,2.0,1996-08-01,157.2
545,Oats,SD,USC00395090,1996,9,0,0,32.0,0,0.0,1.65,85.0,5.36,0.0,58.0,68.2,47.9,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Sep,1.83,1996-09-01,157.7
547,Oats,SD,USC00395090,1996,10,0,0,16.0,0,0.0,1.16,81.0,2.59,0.0,47.5,60.3,34.6,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Oct,1.84,1996-10-01,158.2
549,Oats,SD,USC00395090,1996,11,0,0,-14.0,0,0.0,0.61,63.0,2.0,0.0,22.4,30.1,14.7,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Nov,1.85,1996-11-01,158.7
551,Oats,SD,USC00395090,1996,12,0,2,-24.0,0,9.0,0.45,32.0,0.71,12.0,10.5,17.7,3.3,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Dec,1.72,1996-12-01,159.1
553,Oats,SD,USC00395090,1997,1,0,4,-20.0,0,4.0,0.39,43.0,0.76,8.0,5.4,14.2,-3.4,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Jan,1.83,1997-01-01,159.4
555,Oats,SD,USC00395090,1997,2,26,5,-14.0,42,12.0,0.8,40.0,0.96,18.0,16.5,26.3,6.7,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Feb,1.81,1997-02-01,159.7
557,Oats,SD,USC00395090,1997,3,0,1,-10.0,0,1.0,0.33,65.0,0.5,1.0,27.1,35.7,18.5,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Mar,1.91,1997-03-01,159.8
559,Oats,SD,USC00395090,1997,4,0,0,6.0,0,0.0,0.75,75.0,2.3,0.0,40.0,51.1,28.8,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Apr,1.87,1997-04-01,159.9
561,Oats,SD,USC00395090,1997,5,0,0,24.0,0,0.0,0.76,86.0,2.52,0.0,51.9,63.2,40.7,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,May,1.86,1997-05-01,159.9
563,Oats,SD,USC00395090,1997,6,0,0,47.0,0,0.0,0.42,98.0,1.31,0.0,69.3,81.5,57.0,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Jun,1.81,1997-06-01,160.2
565,Oats,SD,USC00395090,1997,7,0,0,44.0,0,0.0,0.56,96.0,1.93,0.0,72.3,83.5,61.2,1,Prices,17,1,0.8,United States,3,Oats,5,Prices received by farmers,4,Dollars per bushel,1,Monthly,Jul,1.67,1997-07-01,160.4
